"Plot"	"Treatment"	"Block"	"GrazeTime"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"
1	"NO"	1	"1WK"	0.29314905911482	0.443235505572718	0.336679339651037	0.323510511780249	0.651218168459019	0.0772794215921701	0.849614601172635	1	0.473931525970171	0.765192828639531
1	"NO"	1	"24H"	0.475949370355283	0.505138512798097	0.643003324894373	0.347038222722835	0.713486939020269	0.46838478099154	0.507833399604109	0.620339293859536	0.308476847251869	0.668226873512254
1	"NO"	1	"4WK"	0.262201232361907	0.517285091667392	0.388675839889937	0.307456771935445	0.596243459511663	0.268913763804833	0.620529279584142	0.973566333791673	0.617089632664648	0.916396076232904
1	"NO"	1	"PRE"	0.901041014052836	0.591865875401588	0.717857868392711	0.626366680294245	0.647606162287699	0.556797296836978	0.0848693373234053	0.594447399020197	0.598319118394118	0.825691089318611
2	"LO"	1	"1WK"	0.359212789521007	0.669795446892774	0.561488945242562	0.45567296179334	0.84286759263441	0.56349420403627	0.764964211626337	0.92625748372659	0.455557068517789	0.870777483497562
2	"LO"	1	"24H"	0.577094288337152	0.690973866577901	0.640520608071702	0.603238623326371	0.731362970025724	0.58865136968404	0.569693352082023	0.62263869540632	0.264429350536034	0.776292082892131
2	"LO"	1	"4WK"	0.468305002164747	0.706162546384667	0.594232402858962	0.544110757495835	0.805371860698377	0.430385143961135	0.691526655166945	0.93964856394661	0.525808403399951	0.98258313091203
2	"LO"	1	"PRE"	0.627061983390455	0.730217631303161	0.723450598100869	0.572070325151807	0.667089515973832	0.560734476080976	0.119614696818721	0.509755373069428	0.477785615901834	0.672289971651709
3	"HI"	1	"1WK"	0.47076487110727	0.695282582278752	0.546054656545126	0.54696116973839	0.764514673674318	0.382180468465835	1	0.98931460388093	0.34871715124567	1
3	"HI"	1	"24H"	0.783727208936157	0.887067892894137	0.802622050870652	0.885276472078566	0.906835619680114	0.881417948430175	0.551372495833576	0.661982150013142	0.322065412410814	0.943565232549654
3	"HI"	1	"4WK"	0.401906395378614	0.58246999396671	0.453357741062268	0.443759176220119	0.714288886451551	0.435107472398407	0.938392594444408	0.971045158633025	0.374782372884017	0.992128785161251
3	"HI"	1	"PRE"	0.944111550708042	0.767480285596024	0.957362906013088	0.873409879565699	0.79293443793924	0.778757726328561	0	0.625761475320172	0.823250123123186	0.552330058173482
4	"NO"	2	"1WK"	0.626440766370134	0.673247608688505	0.589522745119742	0.573212908716321	0.889028961667858	0.492586494960976	0.625437371739949	0.58081200892289	0.175829763062763	0.17634334368836
4	"NO"	2	"24H"	0.739763604475273	0.699551604374098	0.688463272934777	0.599611461073046	0.665973903847643	0.705772457156052	0.341551344718389	0.357966040291236	0.141458160424651	0.263911752941132
4	"NO"	2	"4WK"	0.614892621718309	0.520997158655935	0.618610336175637	0.569927178423427	1	0.532527503509634	0.610949150395465	0.940402381353246	0.587360441559809	0.505762272669731
4	"NO"	2	"PRE"	1	0.903763511356623	1	0.849835337102642	0.945797589987043	0.77349680442855	0	0.428976963656516	0.962738959087744	0.330407033153349
5	"LO"	2	"1WK"	0.282002725219168	0.47917361050668	0.477492362441665	0.427349534237256	0.672837815725788	0.260635814234452	0.836043303881044	0.847252769918089	0.313983569238652	0.0723688336165785
5	"LO"	2	"24H"	0.374358138609828	0.487856727890591	0.491501118094403	0.272828620096326	0.686969588054789	0.752656019387892	0.404258976155111	0.370183672755243	0.107821723203478	0.0167483136563265
5	"LO"	2	"4WK"	0.341025096319096	0.522066393935534	0.329988006127805	0.243318829766115	0.535218120302389	0.234854003608067	0.466119986846038	0.0351657431224096	0	0
5	"LO"	2	"PRE"	0.598997187966982	0.755591823642277	0.627842179036248	0.526648480939498	0.745896621279548	0.573528050438935	0.310241723447177	0.479528934407194	0.300480249806294	0.330080455315744
6	"HI"	2	"1WK"	0.469981916017802	0.67572685852673	0.579826541221309	0.421048820770366	0.759797496917495	0.319527083479752	0.56463216150608	0.59185881359045	0.233951361333221	0.00646461084716104
6	"HI"	2	"24H"	0.664552392552705	0.664721774324913	0.703820247285382	0.717984041484991	0.72315773187123	0.635625414519576	0.250773787512231	0.27333047502585	0.11556451572868	0
6	"HI"	2	"4WK"	0.556792790104271	0.580075314331104	0.497444401486374	0.529520162513786	0.878243555022906	0.38894016565692	0.416105656492011	0.257273846035664	0	0.131432482141996
6	"HI"	2	"PRE"	0.854844413974496	0.716819328430668	0.576221963467768	0.566206582682596	0.828599048437834	0.609572200015386	0.0504025538739279	0.307068337322077	0.304123813139133	0.0152985378345946
